Street_Address,CSZ,Price,Property_Type,Number_of_Bedrooms,Number_of_Bathrooms
1527 Teresa Ann Ln,"Allen, TX 75013","$2,800 ",For Rent - House,3bed,2.5bath
808 Leading Ln,"Allen, TX 75002","$2,050 ",For Rent - House,3bed,2bath
205 Benton Dr,"Allen, TX 75013","$1,393 - $2,307",For Rent - Other,1 - 3bed,1 - 2bath
325 S Jupiter Rd Apt 327,"Allen, TX 75002","$1,469 - $1,974",For Rent - Other,1 - 3bed,1 - 2bath
729 Junction Dr,"Allen, TX 75013","$1,539 - $2,842",For Rent - Apartment,1 - 3bed,1 - 2bath
947 Park Ridge Dr,"Allen, TX 75013","$3,400 ",For Rent - House,3bed,2.5bath
208 S Malone Rd,"Allen, TX 75002","$2,125 ",For Rent - House,3bed,2bath
922 Thistle Cir,"Allen, TX 75002","$2,705 ",For Rent - House,4bed,2.5bath
1018 Dickens Ln,"Allen, TX 75002","$3,145 ",For Rent - House,4bed,2.5bath
603 Creekside Ln,"Allen, TX 75002","$2,550 ",For Rent - House,4bed,2bath
440 Fox Trl,"Allen, TX 75002","$2,975 ",For Rent - House,4bed,2bath
28 Brewster Ct,"Allen, TX 75002","$2,300 ",For Rent - House,3bed,2.5bath
1824 Summer Glen Ct,"Allen, TX 75002","$2,400 ",For Rent - House,3bed,2bath
1534 Broadmoor Dr,"Allen, TX 75002","$2,650 ",For Rent - House,4bed,2.5bath
1015 Draycot Ct,"Allen, TX 75002","$2,200 ",For Rent - House,4bed,2bath
708 Rolling Ridge Dr,"Allen, TX 75002","$2,335 ",For Rent - House,3bed,2bath
1238 Wiltshire Dr,"Allen, TX 75013","$2,600 ",For Rent - Townhome,3bed,2.5bath
801 Melinda Dr,"Allen, TX 75002","$3,500 ",For Rent - House,5bed,3.5bath
1178 Landon Ln,"Allen, TX 75013","$2,500 ",For Rent - Townhome,3bed,2bath
1717 Terrell Dr,"Allen, TX 75002","$2,820 ",For Rent - Townhome,4bed,2.5bath
1090 W Exchange Pkwy # C210,"Allen, TX 75013","$1,465 ",For Rent - Apartment,1bed,1bath
1090 W Exchange Pkwy # C212,"Allen, TX 75013","$1,465 ",For Rent - Apartment,1bed,1bath
1090 W Exchange Pkwy # C310,"Allen, TX 75013","$1,465 ",For Rent - Apartment,1bed,1bath
1090 W Exchange Pkwy # H308,"Allen, TX 75013","$1,380 ",For Rent - Apartment,1bed,1bath
315 N Greenville Ave,"Allen, TX 75002","$1,196 - $1,820",For Rent - Other,1 - 2bed,1 - 2bath
1400 Andrews Pkwy,"Allen, TX 75002","$1,523 - $2,575",For Rent - Other,1 - 3bed,1 - 2bath
1712 Paytyn Dr,"Allen, TX 75013","$2,950 ",For Rent - House,3bed,2.5 - 4bath
301 S Jupiter Rd,"Allen, TX 75002","$1,395 - $2,320",For Rent - Apartment,1 - 3bed,1 - 2bath
301 N Greenville Ave,"Allen, TX 75002","$1,400 - $1,665",For Rent - Apartment,1 - 2bed,1 - 2bath
1420 W McDermott Dr,"Allen, TX 75013","$1,228 - $2,079",For Rent - Apartment,1 - 3bed,1 - 2bath
930 Ridgeview Dr,"Allen, TX 75013","$1,230 - $2,972",For Rent - Apartment,1 - 2bed,1 - 2bath
1090 W Exchange Pkwy,"Allen, TX 75013","$1,240 - $1,885",For Rent - Apartment,1 - 2bed,1 - 2bath
1845 Chelsea Blvd,"Allen, TX 75013","$1,285 - $2,100",For Rent - Apartment,1 - 2bed,1 - 2bath
935 Garden Park Dr,"Allen, TX 75013","$1,475 - $3,030",For Rent - Apartment,1 - 3bed,1 - 2bath
1500 S Jupiter Rd,"Allen, TX 75002","$1,379 - $1,624",For Rent - Apartment,2bed,1 - 2bath
860 Junction Dr,"Allen, TX 75013","$1,315 - $2,408",For Rent - Apartment,1 - 2bed,1 - 2bath
1160 Montgomery Blvd,"Allen, TX 75013","$1,408 - $3,282",For Rent - Apartment,1 - 3bed,1 - 3bath
659 Junction Dr,"Allen, TX 75013","$1,405 - $2,330",For Rent - Apartment,1 - 3bed,1 - 2bath
1300 N Custer Rd,"Allen, TX 75013","$1,275 - $2,353",For Rent - Apartment,1 - 3bed,1 - 2bath
1280 Montgomery Blvd,"Allen, TX 75013","$1,505 - $3,455",For Rent - Apartment,1 - 3bed,1 - 2.5bath
705 Bray Central Dr,"Allen, TX 75013","$1,628 - $2,259",For Rent - Apartment,1 - 3bed,1 - 2bath
1175 Montgomery Blvd,"Allen, TX 75013","$1,425 - $2,768",For Rent - Apartment,1 - 3bed,1 - 2bath
