Address,Price,Number of Bedrooms,Number of Bathrooms,Square Feet,loc,point
"2628 Lawrence Street, Dallas, TX 75215","
                $399,000
            ",['4 Beds'],['2 Baths'],"['1', '800 SqFt']","2628, Lawrence Street, Bonton, Dallas, Dallas County, Texas, 75215, United States","(32.753275714285714, -96.75473757142856, 0.0)"
"162 S Cisco Street, Dallas, TX 75246","
                $525,000
            ",['3 Beds'],['3 Baths'],"['1', '836 SqFt']","162, South Cisco Street, Dallas, Dallas County, Texas, 75246, United States","(32.79280086299306, -96.76473863583902, 0.0)"
"9250 Meadowbrook Drive, Dallas, TX 75220","
                $15,850,000
            ",['5 Beds'],['8 Baths'],"['12', '470 SqFt']","9250, Meadowbrook Drive, Dallas, Dallas County, Texas, 75220, United States","(32.8672309520521, -96.81864791418126, 0.0)"
"8032 EAGLE Trail, Dallas, TX 75238","
                $899,000
            ",['5 Beds'],['3 Baths'],"['4', '157 SqFt']","8032, Eagle Trail, Lake Highlands, Dallas, Dallas County, Texas, 75238, United States","(32.8672838355292, -96.72567190037698, 0.0)"
"9315 Leaside Drive, Dallas, TX 75238","
                $515,000
            ",['3 Beds'],['2 Baths'],"['1', '348 SqFt']","9315, Leaside Drive, Lake Highlands, Dallas, Dallas County, Texas, 75238, United States","(32.874353150000005, -96.70563069424385, 0.0)"
"6706 Duffield Drive, Dallas, TX 75248","
                $724,999
            ",['4 Beds'],['3 Baths'],"['2', '452 SqFt']","6706, Duffield Drive, Dallas, Dallas County, Texas, 75248, United States","(32.984727, -96.789622, 0.0)"
"2743 Tranquil Way, Dallas, TX 75237","
                $300,000
            ",['3 Beds'],['2 Baths'],"['1', '591 SqFt']","2743, Tranquil Way, Unity Estates, Dallas, Dallas County, Texas, 75237, United States","(32.653147142857144, -96.86307014285714, 0.0)"
"901 Elsbeth Avenue, Dallas, TX 75208","
                $649,000
            ",['3 Beds'],['4 Baths'],"['2', '124 SqFt']",,
"4418 Stigall Drive, Dallas, TX 75209","
                $1,149,000
            ",['4 Beds'],['3 Baths'],"['3', '179 SqFt']","4418, Stigall Drive, Dallas, Dallas County, Texas, 75209, United States","(32.84846089231078, -96.83501988098786, 0.0)"
"6921 Gateridge Drive, Dallas, TX 75254","
                $917,000
            ",['3 Beds'],['4 Baths'],"['3', '562 SqFt']","6921, Gateridge Drive, Dallas, Dallas County, Texas, 75254, United States","(32.945947149999995, -96.78505475, 0.0)"
"15910 Coolwood Drive #1046, Dallas, TX 75248","
                $195,000
            ",['2 Beds'],['3 Baths'],"['1', '363 SqFt']",,
"9324 Stratford Way, Dallas, TX 75220","
                $850,000
            ",['3 Beds'],['3 Baths'],"['3', '154 SqFt']","9324, Stratford Way, Wellington on the Creek, Dallas, Dallas County, Texas, 75220, United States","(32.86527602905594, -96.8434641725007, 0.0)"
"8420 Little Fawn Lane, Dallas, TX 75249","
                $389,000
            ",['4 Beds'],['2 Baths'],"['2', '529 SqFt']","8420, Little Fawn Lane, Dallas, Dallas County, Texas, 75249, United States","(32.641369100000006, -96.9679043527724, 0.0)"
"2559 Globe Avenue, Dallas, TX 75228","
                $225,000
            ",['3 Beds'],['1 Bath'],"['1', '104 SqFt']","2559, Globe Avenue, Dallas, Dallas County, Texas, 75228, United States","(32.81519136363636, -96.67178278787878, 0.0)"
"5436 Martel, Dallas, TX 75206","
                $835,000
            ",['3 Beds'],['4 Baths'],"['2', '552 SqFt']","5436, Martel Avenue, Dallas, Dallas County, Texas, 75206, United States","(32.8316953913786, -96.776209347178, 0.0)"
"732 W 7th Street, Dallas, TX 75208","
                $669,900
            ",['3 Beds'],['3 Baths'],"['2', '020 SqFt']","732, West 7th Street, Bishop Arts District, Dallas, Dallas County, Texas, 75208, United States","(32.748725, -96.83540425944923, 0.0)"
"7442 Woodthrush Drive, Dallas, TX 75230","
                $650,000
            ",['3 Beds'],['3 Baths'],"['2', '750 SqFt']","7442, Woodthrush Drive, Dallas, Dallas County, Texas, 75230, United States","(32.889321686457414, -96.7777329925406, 0.0)"
"2118 Fordham Road, Dallas, TX 75216","
                $250,000
            ",['4 Beds'],['2 Baths'],"['1', '436 SqFt']","2118, Fordham Road, Dallas, Dallas County, Texas, 75216, United States","(32.70242331707317, -96.79072736585366, 0.0)"
"4342 Margate Drive, Dallas, TX 75220","
                $2,850,000
            ",['4 Beds'],['7 Baths'],"['5', '631 SqFt']","4342, Margate Drive, Dallas, Dallas County, Texas, 75220, United States","(32.86461825039389, -96.83411732400864, 0.0)"
"2512 E Illinois Avenue, Dallas, TX 75216","
                $225,000
            ",['3 Beds'],['2 Baths'],['936 SqFt'],"2512, East Illinois Avenue, Dallas, Dallas County, Texas, 75216, United States","(32.717511633028195, -96.78503893219238, 0.0)"
"2925 Sharon Street, Dallas, TX 75211","
                $299,000
            ",['2 Beds'],['2 Baths'],"['1', '054 SqFt']","2925, Sharon Street, Oak Cliff, Dallas, Dallas County, Texas, 75211, United States","(32.7299887, -96.8699587944061, 0.0)"
"8708 Stanwood Drive, Dallas, TX 75228","
                $479,900
            ",['3 Beds'],['2 Baths'],"['1', '678 SqFt']","8708, Stanwood Drive, Dallas, Dallas County, Texas, 75228, United States","(32.8137075, -96.70163198978989, 0.0)"
"7340 Skillman Street #902, Dallas, TX 75231","
                $229,900
            ",['3 Beds'],['2 Baths'],"['1', '156 SqFt']",,
"5807 Winding Woods Trail, Dallas, TX 75227","
                $354,000
            ",['3 Beds'],['3 Baths'],"['2', '277 SqFt']","5807, Winding Woods Trail, Dallas, Dallas County, Texas, 75227, United States","(32.78413045, -96.70440525292366, 0.0)"
