Street Address,CSZ,Price,Property Type,Number of Bedrooms,Number of Bathrooms
10301 Concord Dr,"Frisco, TX 75035","$2,345",For Rent - House,3bed,2.5bath
5544 Hidden Creek Ln,"Frisco, TX 75036","$2,750",For Rent - House,3bed,2bath
3200 Rifle Gap Rd,"Frisco, TX 75034","$1,273 - $3,673",For Rent - Other,Studio - 3bed,1 - 2bath
9355 John W Elliott Dr,"Frisco, TX 75033","$1,285 - $2,970",For Rent - Apartment,Studio - 3bed,1 - 2bath
9400 Wade Blvd,"Frisco, TX 75035","$1,505 - $2,475",For Rent - Apartment,1 - 3bed,1 - 2bath
Frisco Sq Unit 12242,"Frisco, TX 75034","$1,900",For Rent - Condo,2bed,2bath
1037 Shadybrook Ln,"Frisco, TX 75033","$3,765",For Rent - House,4bed,3.5bath
9678 Belgrade Dr,"Frisco, TX 75035","$2,195",For Rent - House,3bed,2bath
4004 Tunstall Dr,"Frisco, TX 75036","$2,300",For Rent - House,3bed,2bath
9476 Mirror Fountain Cir,"Frisco, TX 75033","$2,600",For Rent - House,3bed,2bath
12524 Concho Dr,"Frisco, TX 75033","$2,650",For Rent - House,3bed,2bath
5016 Promise Land Dr,"Frisco, TX 75035","$2,650",For Rent - House,3bed,2bath
11910 Melrose Ln,"Frisco, TX 75035","$2,995",For Rent - House,3bed,2bath
10611 Camelot Dr,"Frisco, TX 75035","$2,650",For Rent - House,4bed,2.5bath
10604 Camelot Dr,"Frisco, TX 75035","$2,395",For Rent - House,3bed,2bath
584 Meandering Ln,"Frisco, TX 75033","$4,500",For Rent - House,4bed,4bath
2229 Goliad Cir,"Frisco, TX 75033","$3,025",For Rent - House,4bed,2.5bath
2409 Maidenhair Rd,"Frisco, TX 75033","$6,000",For Rent - House,5bed,5bath
11408 Sadie St,"Frisco, TX 75036","$3,100",For Rent - House,4bed,3bath
10536 Coach House Ln,"Frisco, TX 75035","$2,595",For Rent - House,4bed,2bath
12717 Seagull Way,"Frisco, TX 75036","$2,195",For Rent - House,4bed,2bath
12120 Knots Ln,"Frisco, TX 75036","$2,800",For Rent - House,4bed,3bath
7845 Whirlwind Dr,"Frisco, TX 75036","$2,795",For Rent - House,3bed,2bath
5985 Cheyenne Way,"Frisco, TX 75034","$3,295",For Rent - House,5bed,2.5bath
4545 Mission Ave,"Frisco, TX 75034","$1,411 - $4,765",For Rent - Apartment,Studio - 3bed,1 - 3bath
5050 FM 423,"Frisco, TX 75036","$1,352 - $2,539",For Rent - Other,1 - 3bed,1 - 2bath
15950 Paramount Way,"Frisco, TX 75033","$1,457 - $3,340",For Rent - Apartment,1 - 3bed,1 - 3bath
1801 McCord 181570 Way Unit 1115,"Frisco, TX 75033","$1,810",For Rent - Apartment,1bed,1bath
15439 Carnoustie Ln,"Frisco, TX 75035","$3,600",For Rent - House,4bed,4bath
4255 Cotton Gin Rd,"Frisco, TX 75034","$1,435 - $4,290",For Rent - Other,Studio - 4bed,1 - 4.5bath
6000 Eldorado Pkwy,"Frisco, TX 75033","$1,246 - $2,589",For Rent - Other,1 - 3bed,1 - 2bath
6805 Lebanon Rd,"Frisco, TX 75034","$1,428 - $2,453",For Rent - Other,1 - 3bed,1 - 2bath
3198 Parkwood Blvd,"Frisco, TX 75034","$1,266 - $2,175",For Rent - Other,1 - 2bed,1 - 2bath
7549 Stonebrook Pkwy,"Frisco, TX 75034","$1,309 - $2,009",For Rent - Other,1 - 3bed,1 - 2bath
6303 Frisco Square Blvd,"Frisco, TX 75034","$1,616 - $2,410",For Rent - Apartment,Studio - 2bed,1 - 2bath
7275 Hickory St,"Frisco, TX 75034","$1,714",For Rent - Other,2bed,2bath
12050 Research Rd,"Frisco, TX 75033","$1,330 - $3,244",For Rent - Other,1 - 3bed,1 - 2bath
8568 Warren Pkwy,"Frisco, TX 75034","$1,385 - $2,378",For Rent - Other,1 - 3bed,1 - 2bath
6633 John Hickman Pkwy,"Frisco, TX 75034","$1,664 - $3,664",For Rent - Other,Studio - 3bed,1 - 3bath
1750 FM 423,"Frisco, TX 75033","$1,281 - $2,947",For Rent - Other,1 - 4bed,1 - 4bath
11900 Research Rd,"Frisco, TX 75033","$1,241 - $3,299",For Rent - Other,1 - 3bed,1 - 2bath
7777 Adelaide St,"Frisco, TX 75034","$1,320 - $3,365",For Rent - Other,Studio - 3bed,1 - 3bath
