Street Address,CSZ,Price,Property Type,Number of Bedrooms,Number of Bathrooms
5722 Marvin Loving Dr,"Garland, TX 75043","$1,200",For Rent - House,1bed,1bath
2806 Poplar Trl,"Garland, TX 75042","$1,720",For Rent - House,2bed,1bath
3232 N Garland Ave,"Garland, TX 75040","$1,340 - $1,975",For Rent - Other,1 - 2bed,1 - 2bath
2735 N Garland Ave,"Garland, TX 75040","$1,964 - $2,117",For Rent - Apartment,2bed,2 - 2.5bath
2701 Lookout Dr,"Garland, TX 75044","$1,515 - $1,803",For Rent - Apartment,1 - 2bed,1 - 2bath
2201 Woodglen Dr,"Garland, TX 75040","$2,455",For Rent - House,3bed,2bath
2914 W Walnut St,"Garland, TX 75042","$822 - $1,257",For Rent - Other,Studio - 2bed,1bath
5710 Galaxie Rd,"Garland, TX 75044","$2,000",For Rent - House,3bed,2bath
7017 Jack Franzen Dr,"Garland, TX 75043","$1,980",For Rent - House,3bed,2bath
711 Meadowcreek Ct,"Garland, TX 75043","$2,390",For Rent - House,3bed,2bath
4705 Cliffwood Dr,"Garland, TX 75043","$1,795",For Rent - House,3bed,2bath
5322 Brookport Dr,"Garland, TX 75043","$2,120",For Rent - House,3bed,2bath
116 Kings Row,"Garland, TX 75043","$1,500",For Rent - House,3bed,2bath
406 San Maria Dr,"Garland, TX 75043","$1,795",For Rent - House,3bed,2bath
1206 Mayapple Dr,"Garland, TX 75043","$2,195",For Rent - House,3bed,2bath
638 W Ridgewood Dr,"Garland, TX 75041","$2,200",For Rent - House,3bed,2bath
2414 Highdale Dr,"Garland, TX 75041","$2,415",For Rent - House,4bed,2.5bath
2009 Sage Dr,"Garland, TX 75040","$1,975",For Rent - House,3bed,2bath
2379 Apollo Rd # 1123,"Garland, TX 75044","$1,617",For Rent - Apartment,Studio,1bath
6421 Briar Knoll Dr,"Garland, TX 75043","$2,100",For Rent - House,3bed,2bath
914 Eden Crest Dr,"Garland, TX 75042","$2,400",For Rent - House,4bed,2bath
717 Middle Glen Dr,"Garland, TX 75043","$2,230",For Rent - House,4bed,2.5bath
3941 Queens Ct,"Garland, TX 75043","$1,700",For Rent - House,2bed,2bath
518 Northwind Ln,"Garland, TX 75040","$2,200",For Rent - House,4bed,2bath
4501 N Garland Ave,"Garland, TX 75040","$1,323 - $2,531",For Rent - Apartment,1 - 3bed,1 - 2bath
6202 Duck Creek Dr,"Garland, TX 75043","$1,378 - $2,139",For Rent - Apartment,1 - 3bed,1 - 2bath
3401 Bobtown Rd,"Garland, TX 75043","$1,247 - $1,705",For Rent - Apartment,1 - 2bed,1 - 2bath
782 Gatewood Dr,"Garland, TX 75043","$1,370 - $1,630",For Rent - Apartment,1 - 3bed,1 - 2bath
305 River Fern Ave,"Garland, TX 75040","$1,215 - $2,090",For Rent - Apartment,Studio - 3bed,1 - 2bath
1759 W Campbell Rd,"Garland, TX 75044","$1,477 - $2,913",For Rent - Apartment,1 - 3bed,1 - 3.5bath
4901 Peninsula Way,"Garland, TX 75043","$1,384 - $2,077",For Rent - Apartment,1 - 3bed,1 - 2bath
1675 W Campbell Rd,"Garland, TX 75044","$1,499 - $2,199",For Rent - Apartment,1 - 3bed,1 - 2bath
241 E Interstate 30,"Garland, TX 75043","$980 - $1,515",For Rent - Other,1 - 3bed,1 - 2bath
724 W Miller Rd,"Garland, TX 75041","$1,150",For Rent - Other,1 - 2bed,1 - 2bath
3100 W Walnut St,"Garland, TX 75042","$812 - $1,094",For Rent - Apartment,Studio - 1bed,1bath
1702-1802 Edgefield Dr,"Garland, TX 75040","$600 - $1,000",For Rent - Apartment,Studio - 2bed,1 - 2bath
6305 N George Bush Hwy,"Garland, TX 75044","$1,306 - $3,146",For Rent - Other,1 - 4bed,1 - 4bath
314 Castle Dr,"Garland, TX 75040","$1,200",For Rent - Other,1bed,1bath
5501 Naaman Forest Blvd,"Garland, TX 75044","$1,278 - $1,855",For Rent - Other,1 - 3bed,1 - 2bath
801 LA Prada Dr,"Garland, TX 75043","$1,095 - $1,525",For Rent - Apartment,Studio - 2bed,1 - 2bath
351 N 5th St,"Garland, TX 75040","$1,274 - $1,981",For Rent - Apartment,Studio - 2bed,1 - 2bath
5710 Duck Creek Dr,"Garland, TX 75043","$1,095 - $1,445",For Rent - Other,1 - 3bed,1 - 2bath
