Address,Price,Number of Bedrooms,Number of Bathrooms,Square Feet
"920 Ledgemont Drive, Plano, TX 75025","
                $365,000
            ",3 Beds,2 Baths,"1,658 SqFt"
"3101 Townbluff Drive #322, Plano, TX 75075","
                $220,000
            ",2 Beds,2 Baths,"1,044 SqFt"
"2804 Knollwood Drive, Plano, TX 75075","
                $579,900
            ",4 Beds,3 Baths,"2,583 SqFt"
"2308 Flanders Lane, Plano, TX 75025","
                $525,000
            ",4 Beds,3 Baths,"2,644 SqFt"
"3601 Plymouth Drive, Plano, TX 75023","
                $605,000
            ",4 Beds,3 Baths,"2,726 SqFt"
"2620 Wheeler Bend, Plano, TX 75025","
                $680,000
            ",5 Beds,4 Baths,"3,596 SqFt"
"2044 Cannes Drive, Plano, TX 75025","
                $986,000
            ",4 Beds,3 Baths,"3,275 SqFt"
"4509 Lancelot Drive, Plano, TX 75024","
                $750,000
            ",4 Beds,4 Baths,"3,977 SqFt"
"3013 Prestonwood Drive, Plano, TX 75093","
                $692,500
            ",3 Beds,3 Baths,"3,359 SqFt"
"6817 Barbican Drive, Plano, TX 75023","
                $414,000
            ",3 Beds,3 Baths,"2,117 SqFt"
"3042 Montego Place, Plano, TX 75023","
                $775,000
            ",4 Beds,5 Baths,"3,606 SqFt"
"3800 Kite Meadow Drive, Plano, TX 75074","
                $650,000
            ",4 Beds,4 Baths,"3,967 SqFt"
"1912 Jasmine Lane, Plano, TX 75074","
                $369,900
            ",4 Beds,3 Baths,"1,698 SqFt"
"1412 Jabbet Drive, Plano, TX 75025","
                $360,000
            ",4 Beds,2 Baths,"2,088 SqFt"
"5762 Baltic Boulevard, Plano, TX 75024","
                $599,000
            ",3 Beds,4 Baths,"2,301 SqFt"
"2213 Vickers Drive, Plano, TX 75075","
                $499,900
            ",4 Beds,2 Baths,"2,039 SqFt"
"4608 Glenrose Way, Plano, TX 75093","
                $495,000
            ",3 Beds,2 Baths,"2,076 SqFt"
"3416 Snidow Drive, Plano, TX 75025","
                $849,000
            ",5 Beds,4 Baths,"4,168 SqFt"
"6776 Manitowoc Drive, Plano, TX 75023","
                $399,000
            ",3 Beds,3 Baths,"1,814 SqFt"
"7417 Angel Fire Drive, Plano, TX 75025","
                $525,000
            ",3 Beds,3 Baths,"2,674 SqFt"
"3241 Candlewood Trail, Plano, TX 75023","
                $450,000
            ",4 Beds,3 Baths,"1,981 SqFt"
"7709 Cap Rock Drive, Plano, TX 75025","
                $699,000
            ",4 Beds,3 Baths,"3,762 SqFt"
"2416 Raintree Court, Plano, TX 75074","
                $394,900
            ",3 Beds,2 Baths,"1,770 SqFt"
"7604 Zurich Drive, Plano, TX 75025","
                $567,000
            ",4 Beds,3 Baths,"2,459 SqFt"
