Street Address,CSZ,Price,Property Type,Number of Bedrooms,Number of Bathrooms
1421 Alberti Ave,"Plano, TX 75075","$2,700",For Rent - House,2bed,2.5bath
3357 Canyon Valley Trl,"Plano, TX 75023","$2,570",For Rent - House,3bed,3bath
6300 Roundrock Trl,"Plano, TX 75023","$1,500 - $2,285",For Rent - Other,1 - 2bed,1 - 2.5bath
1520 Preston Rd,"Plano, TX 75093",Contact For Price,For Rent - Apartment,1 - 2bed,1 - 2bath
3700 Mapleshade Ln Unit 11351947,"Plano, TX 75075","$1,705",For Rent - Apartment,Studio,1bath
3205 Broken Bow Way,"Plano, TX 75093","$6,500",For Rent - House,4bed,4.5+bath
1112 Kit Ln,"Plano, TX 75023","$2,350",For Rent - House,3bed,2bath
1017 Clinton Dr,"Plano, TX 75075","$2,450",For Rent - House,3bed,2.5bath
4033 Aladdin Dr,"Plano, TX 75093","$2,585",For Rent - House,3bed,2bath
7612 Jerome Dr,"Plano, TX 75025","$2,250",For Rent - House,3bed,2bath
4523 Hawkhurst Dr,"Plano, TX 75024","$2,995",For Rent - House,4bed,3.5bath
6725 Grant Ln,"Plano, TX 75024","$2,900",For Rent - House,4bed,3.5bath
904 20th St,"Plano, TX 75074","$1,995",For Rent - House,3bed,2bath
3105 Verbena Dr,"Plano, TX 75075","$2,200",For Rent - House,3bed,2bath
3101 Canterbury Dr,"Plano, TX 75075","$2,250",For Rent - House,4bed,3bath
5765 Bozeman Dr # 4-1107,"Plano, TX 75024","$1,363",For Rent - Apartment,Studio,1bath
5765 Bozeman Dr # 5-8311,"Plano, TX 75024","$1,302",For Rent - Apartment,Studio,1bath
5765 Bozeman Dr # 3-3408,"Plano, TX 75024","$1,328",For Rent - Apartment,Studio,1bath
5765 Bozeman Dr # 5-8195,"Plano, TX 75024","$1,383",For Rent - Apartment,Studio,1bath
5765 Bozeman Dr # 2-06105,"Plano, TX 75024","$1,433",For Rent - Apartment,Studio,1bath
1920 Liverpool Dr,"Plano, TX 75025","$2,800",For Rent - House,3bed,2bath
7200 Dallas Pkwy Apt 2424,"Plano, TX 75024","$15,410",For Rent - Apartment,Studio,4bath
2900 Dallas Pkwy,"Plano, TX 75093","$1,860",For Rent - Apartment,Studio+bed,1bath
7200 Dallas Pkwy Apt 2127,"Plano, TX 75024","$13,020",For Rent - Apartment,Studio,3bath
6300 Windcrest Dr,"Plano, TX 75024","$1,745 - $3,285",For Rent - Other,1 - 3bed,1 - 2bath
3700 Mapleshade Ln Unit 41351785,"Plano, TX 75075","$1,915",For Rent - Apartment,Studio,1bath
801 Legacy 37638 Dr Unit 2026,"Plano, TX 75023","$1,715",For Rent - Apartment,1bed,1bath
3700 Mapleshade Ln Unit 11171787,"Plano, TX 75075","$1,917",For Rent - Apartment,1bed,1bath
7101 Chase Oaks 234519 Blvd Unit 527,"Plano, TX 75025","$1,834",For Rent - Apartment,1bed,1bath
3700 Mapleshade 45537 Ln Unit 3063,"Plano, TX 75075","$1,905",For Rent - Apartment,1bed,1bath
801 Legacy 37640 Dr Unit 2124,"Plano, TX 75023","$1,919",For Rent - Apartment,1bed,1bath
7101 Chase Oaks 822954 Blvd Unit 525,"Plano, TX 75025","$1,967",For Rent - Apartment,1bed,1bath
1100 Meredith Ln,"Plano, TX 75093","$1,474 - $2,590",For Rent - Apartment,1 - 3bed,1 - 2bath
3700 Mapleshade 45535 Ln Unit 2106,"Plano, TX 75075","$1,905",For Rent - Apartment,1bed,1bath
3700 Mapleshade Ln Unit 31233125,"Plano, TX 75075","$1,698",For Rent - Apartment,Studio,1bath
6100 Ohio Dr,"Plano, TX 75024","$1,105 - $2,109",For Rent - Apartment,1 - 2bed,1 - 2bath
2501 Ohio Dr,"Plano, TX 75093","$1,310 - $2,295",For Rent - Apartment,1 - 2bed,1 - 2bath
9300 Coit Rd,"Plano, TX 75025","$1,481 - $2,896",For Rent - Apartment,1 - 2bed,1 - 2.5bath
3700 Mapleshade Ln Unit 21231784,"Plano, TX 75075","$1,698",For Rent - Apartment,Studio,1bath
3640 Mapleshade Ln,"Plano, TX 75075","$1,885 - $2,663",For Rent - Apartment,1 - 2bed,1 - 2bath
3825 Mapleshade Ln,"Plano, TX 75075","$1,378 - $3,543",For Rent - Other,Studio - 3bed,1 - 3.5bath
7001 Parkwood Blvd,"Plano, TX 75024","$1,143 - $2,298",For Rent - Other,Studio - 3bed,1 - 2.5bath
