Address,Price,Number of Bedrooms,Number of Bathrooms,Square Feet
"336 Melrose Drive #4B, Richardson, TX 75080","
                $229,000
            ",2 Beds,2 Baths,"1,071 SqFt"
"1222 Delmont Drive, Richardson, TX 75080","
                $349,000
            ",3 Beds,2 Baths,"1,231 SqFt"
"904 Pinecrest Drive, Richardson, TX 75080","
                $390,000
            ",4 Beds,2 Baths,"2,188 SqFt"
"716 Newberry Drive, Richardson, TX 75080","
                $564,500
            ",3 Beds,2 Baths,"1,798 SqFt"
"207 Dublin Drive, Richardson, TX 75080","
                $325,000
            ",3 Beds,2 Baths,"1,331 SqFt"
"3911 Chainhurst Drive, Richardson, TX 75082","
                $689,900
            ",4 Beds,4 Baths,"2,962 SqFt"
"411 Valley Glen Drive, Richardson, TX 75080","
                $485,000
            ",3 Beds,2 Baths,"1,542 SqFt"
"1103 Edith Circle, Richardson, TX 75080","
                $779,000
            ",5 Beds,3 Baths,"2,742 SqFt"
"632 Lockwood Drive, Richardson, TX 75080","
                $479,900
            ",3 Beds,2 Baths,"1,600 SqFt"
"1605 Baltimore Drive, Richardson, TX 75081","
                $510,000
            ",4 Beds,3 Baths,"2,040 SqFt"
"3305 Iris Court, Richardson, TX 75082","
                $565,000
            ",4 Beds,3 Baths,"2,480 SqFt"
"1309 Cherokee Drive, Richardson, TX 75080","
                $550,000
            ",4 Beds,3 Baths,"2,017 SqFt"
"523 Westwood Drive, Richardson, TX 75080","
                $399,000
            ",3 Beds,2 Baths,"1,302 SqFt"
"1703 Baylor Drive, Richardson, TX 75081","
                $465,000
            ",4 Beds,3 Baths,"1,828 SqFt"
"413 Bedford Drive, Richardson, TX 75080","
                $349,000
            ",3 Beds,3 Baths,"1,840 SqFt"
"721 Laguna Drive, Richardson, TX 75080","
                $575,000
            ",4 Beds,4 Baths,"2,758 SqFt"
"2105 Mistletoe Lane, Richardson, TX 75081","
                $486,500
            ",4 Beds,3 Baths,"2,158 SqFt"
"3501 Newhaven Drive, Richardson, TX 75082","
                $639,995
            ",4 Beds,4 Baths,"3,332 SqFt"
"627 Matthew Place, Richardson, TX 75081","
                $350,000
            ",2 Beds,3 Baths,"1,301 SqFt"
"637 Harvest Glen Drive, Richardson, TX 75081","
                $560,000
            ",5 Beds,3 Baths,"2,919 SqFt"
"824 Downing Drive, Richardson, TX 75080","
                $440,000
            ",3 Beds,2 Baths,"1,644 SqFt"
"1814 Duke Drive, Richardson, TX 75081","
                $480,000
            ",3 Beds,2 Baths,"1,800 SqFt"
"2411 Acacia Street, Richardson, TX 75082","
                $475,000
            ",3 Beds,3 Baths,"2,402 SqFt"
"11 Walnut Creek Place, Richardson, TX 75080","
                $899,000
            ",4 Beds,4 Baths,"2,643 SqFt"
