Street Address,CSZ,Price,Property Type,Number of Bedrooms,Number of Bathrooms
415 Jolee St,"Richardson, TX 75080","$1,800",For Rent - House,3bed,1bath
891 Dublin Dr Apt A,"Richardson, TX 75080","$1,650",For Rent - House,1bed,1.5bath
110 W Cityline Dr Unit 10411798,"Richardson, TX 75082","$1,869",For Rent - Apartment,Studio,1bath
110 W Cityline 195857 Dr Unit 3041,"Richardson, TX 75082","$1,797",For Rent - Apartment,Studio,1bath
110 W Cityline 316406 Dr Unit 5014,"Richardson, TX 75082","$1,906",For Rent - Apartment,Studio,1bath
823 Saint Paul Ct,"Richardson, TX 75080","$2,400",For Rent - House,3bed,2bath
6 Briarcrest Ct,"Richardson, TX 75081","$2,500",For Rent - House,3bed,2.5bath
3211 Foxcreek Dr,"Richardson, TX 75082","$2,850",For Rent - House,3bed,2.5bath
10000 S Sherman St,"Richardson, TX 75081",$845,For Rent - Other,1bed,1bath
2507 Valley Frg,"Richardson, TX 75080","$2,650",For Rent - House,4bed,3bath
411 E Polk St Apt 4,"Richardson, TX 75081","$1,100",For Rent - Condo,1bed,1bath
744 Brick Row Dr Apt 2362,"Richardson, TX 75081","$1,310",For Rent - Apartment,Studio,1bath
744 Brick Row Dr # 1455,"Richardson, TX 75081","$1,345",For Rent - Apartment,Studio,1bath
744 Brick Row Dr # 1325,"Richardson, TX 75081","$1,355",For Rent - Apartment,Studio,1bath
744 Brick Row Dr Apt 2463,"Richardson, TX 75081","$1,380",For Rent - Apartment,Studio,1bath
744 Brick Row Dr # 1230,"Richardson, TX 75081","$1,390",For Rent - Apartment,Studio,1bath
744 Brick Row Dr Apt 2232,"Richardson, TX 75081","$1,310",For Rent - Apartment,Studio,1bath
333 Melrose Dr Apt 27D,"Richardson, TX 75080","$1,700",For Rent - House,2bed,1.5bath
901 E Campbell Rd,"Richardson, TX 75081","$1,800",For Rent - Apartment,Studio+bed,1bath
411 E Polk St Apt 2,"Richardson, TX 75081","$1,250",For Rent - Condo,2bed,1bath
914 S Waterview Dr,"Richardson, TX 75080","$2,600",For Rent - House,3bed,2bath
418 Fairview Dr,"Richardson, TX 75081","$2,699",For Rent - House,3bed,2bath
2017 Cap Rock Cir,"Richardson, TX 75080","$2,300",For Rent - House,3bed,2bath
5802 Edinburg Dr,"Richardson, TX 75082","$2,800",For Rent - House,4bed,2bath
1050 Galatyn Pkwy,"Richardson, TX 75082","$1,394 - $3,021",For Rent - Other,1 - 3bed,1 - 2bath
613 Clearwood Dr,"Richardson, TX 75081","$1,185",For Rent - Other,1bed,1bath
2811 Custer Pkwy,"Richardson, TX 75080","$1,000 - $1,475",For Rent - Apartment,1 - 3bed,1 - 2bath
3521 Wilshire Way,"Richardson, TX 75082","$1,572 - $3,824",For Rent - Other,1 - 3bed,1 - 3bath
2525 Empire Dr,"Richardson, TX 75080","$1,348 - $2,136",For Rent - Apartment,Studio - 3bed,1 - 2bath
110 W Cityline 507064 Dr Unit 5030,"Richardson, TX 75082","$1,995",For Rent - Apartment,Studio,1bath
601 W Renner Rd,"Richardson, TX 75080","$1,235 - $1,855",For Rent - Other,1 - 2bed,1 - 2bath
1125 E Renner Rd,"Richardson, TX 75082","$1,477 - $2,816",For Rent - Apartment,1 - 2bed,1 - 4bath
1330 W Spring Valley Rd,"Richardson, TX 75080","$1,460 - $1,920",For Rent - Apartment,2 - 3bed,1 - 2.5bath
535 E Buckingham Rd,"Richardson, TX 75081","$1,298 - $1,798",For Rent - Apartment,1 - 2bed,1 - 2bath
411 Buckingham 658872 Rd Unit 415,"Richardson, TX 75081","$1,896",For Rent - Apartment,1bed,1bath
939 Allegheny Ct,"Richardson, TX 75080","$1,365 - $2,065",For Rent - Apartment,1 - 3bed,1 - 2bath
411 Buckingham 515577 Rd Unit 716,"Richardson, TX 75081","$1,950",For Rent - Apartment,1bed,1bath
951 Abrams Rd,"Richardson, TX 75081","$1,499 - $2,416",For Rent - Apartment,1 - 3bed,1 - 2bath
1520 Richardson Dr,"Richardson, TX 75080","$1,519 - $2,471",For Rent - Apartment,1 - 3bed,1 - 2bath
1801 N Greenville Ave,"Richardson, TX 75081","$1,370 - $2,845",For Rent - Other,Studio - 2bed,1 - 2bath
2220 N Glenville Ave,"Richardson, TX 75082","$1,625 - $2,450",For Rent - Apartment,1 - 3bed,1 - 2bath
110 W Cityline 46959 Dr Unit 3066,"Richardson, TX 75082","$1,830",For Rent - Apartment,Studio,1bath
